Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1036484,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,156,China,CHN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,17154,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,8602,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,360,Indonesia,IDN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,19312,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,18,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,458,Malaysia,MYS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,30,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,9000,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,699,India,IND,,,,,,,,01,Live animals,1,No Quantity,,,,,,,62402,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,702,Singapore,SGP,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1167,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,704,Viet Nam,VNM,,,,,,,,01,Live animals,1,No Quantity,,,,,,,21316,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,752,Sweden,SWE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,40,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,757,Switzerland,CHE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,448,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,764,Thailand,THA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,890880,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,784,United Arab Emirates,ARE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,20,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,826,United Kingdom,GBR,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5594,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,500,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,57186,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,44885,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,300,Greece,GRC,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,65,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,33,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1800,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,9855,,,0
H1,2001,2001,2001,2,0,1,Import,104,Myanmar,MMR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,549,,,0
