Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,298247,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,24663485,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,11534430,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,16793700,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,2395,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,2474525,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,19826964,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,16960375,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,09,"Coffee, tea, matΦ and spices",1,No Quantity,,,,,,,3536900,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,2672531,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,52344,,,0
H2,2013,2013,2013,2,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products nes,1,No Quantity,,,,,,,6500,,,0
