Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,22,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,75559,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,178,Congo,COG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,73212,,,0
H0,2000,2000,2000,2,0,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,22,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,716,Zimbabwe,ZWE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,781,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,899,"Areas, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1567,,,0
H0,2000,2000,2000,2,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6042,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1189,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,178,Congo,COG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1189,,,0
H0,2000,2000,2000,2,0,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6000,,,0
H0,2000,2000,2000,2,0,1,Import,140,Central African Rep.,CAF,422,Lebanon,LBN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,42,,,0
H0,2000,2000,2000,2,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,109958,,,0
H0,2000,2000,2000,2,0,2,Export,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,712,,,0
