Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,221293,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,10930,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,124,Canada,CAN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,519,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4672,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,291,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1401,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,450,Madagascar,MDG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,212322,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,450,Madagascar,MDG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,296,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2943,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,6618,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,748,Swaziland,SWZ,,,,,,,,01,Live animals,1,No Quantity,,,,,,,135,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,834,United Rep. of Tanzania,TZA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1221,,,0
H0,2000,2000,2000,2,0,2,Export,174,Comoros,COM,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1805,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3133519,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,964412,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,192,Cuba,CUB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1181724,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,510203,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,65527,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,404,Kenya,KEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,55498,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,450,Madagascar,MDG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,213,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,58725,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,178637,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,105827,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,12430,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,887,Yemen,YEM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,316,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,39182,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,713,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,450,Madagascar,MDG,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,16119,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,22351,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,921939,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,170,Colombia,COL,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1091,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,201478,,,0
H0,2000,2000,2000,2,0,1,Import,174,Comoros,COM,258,French Polynesia,PYF,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,32241,,,0
