Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,69384,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,65233,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3988,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,682,Saudi Arabia,SAU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,163,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,9187245,,,0
H1,2000,2000,2000,2,0,2,Export,175,Mayotte,MYT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,36581,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,32,Argentina,ARG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,15961,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,77718,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,623330,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,72,Botswana,BWA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,34549,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,235372,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,96,Brunei Darussalam,BRN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1985,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2289,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2586,,,0
H1,2000,2000,2000,2,0,2,Export,175,Mayotte,MYT,174,Comoros,COM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5332,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,232,Eritrea,ERI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,944,,,0
H1,2000,2000,2000,2,0,1,Import,175,Mayotte,MYT,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6341087,,,0
