Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,6256,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,148,Chad,TCD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1647,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,156,China,CHN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1177,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,180,Dem. Rep. of the Congo,COD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,231,Ethiopia,ETH,,,,,,,,01,Live animals,1,No Quantity,,,,,,,212,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3218,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,38538746,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,35562,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,24,Angola,AGO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,33185,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,32,Argentina,ARG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3452737,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,37295,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3387116,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,10555298,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,120,Cameroon,CMR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,4960,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,346165,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,152,Chile,CHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,54511,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,180,Dem. Rep. of the Congo,COD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8073,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,204,Benin,BEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,232,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,231,Ethiopia,ETH,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5813,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6910827,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2377,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,548476,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,360,Indonesia,IDN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,181840,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,730087,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,558987,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,226337,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,600,Paraguay,PRY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,39648,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,766228,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6640938,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,246732,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,531464,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,139,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3213275,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,858,Uruguay,URY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,91569,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,24691491,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,190361,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,16,American Samoa,ASM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,53944,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,24,Angola,AGO,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,692,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,32,Argentina,ARG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,463176,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,85656,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,449513,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,152,Chile,CHL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,85663,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,25120,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,180,Dem. Rep. of the Congo,COD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,78005,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,204,Benin,BEN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,258,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,493602,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,8340,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,324,Guinea,GIN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,4090,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,55657,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,82913,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,9678,,,0
H2,2007,2007,2007,2,0,2,Export,178,Congo,COG,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,26364,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,478,Mauritania,MRT,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,10642123,,,0
H2,2007,2007,2007,2,0,1,Import,178,Congo,COG,504,Morocco,MAR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,413614,,,0
