Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,112183,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,276,Germany,DEU,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1934,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,392,Japan,JPN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,34029,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,826,United Kingdom,GBR,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,3711,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,842,USA,USA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,72510,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,408,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,554,New Zealand,NZL,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,408,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,20629,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,842,USA,USA,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,20629,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1848,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,554,New Zealand,NZL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1848,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,159940,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,392,Japan,JPN,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,77,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,554,New Zealand,NZL,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,159863,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,15814,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,554,New Zealand,NZL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,15814,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,20,"Vegetable, fruit, nut, etc food preparations",1,No Quantity,,,,,,,36149,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,36,Australia,AUS,,,,,,,,20,"Vegetable, fruit, nut, etc food preparations",1,No Quantity,,,,,,,7899,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,392,Japan,JPN,,,,,,,,20,"Vegetable, fruit, nut, etc food preparations",1,No Quantity,,,,,,,7845,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,554,New Zealand,NZL,,,,,,,,20,"Vegetable, fruit, nut, etc food preparations",1,No Quantity,,,,,,,17576,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,842,USA,USA,,,,,,,,20,"Vegetable, fruit, nut, etc food preparations",1,No Quantity,,,,,,,2829,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,48,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,776,Tonga,TON,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,48,,,0
H1,2000,2000,2000,2,0,2,Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,,,,,5135,,,0
H1,2000,2000,2000,2,0,3,Re-Export,184,Cook Isds,COK,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,,,,,2674,,,0
