Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,19559095,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,29436107,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,29384182,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2418272,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,2301974,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,238,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,3521504,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,32660,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,12803,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,18270898,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,35722,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,4963,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,,,,,,,7033055,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,,,,,,,1894830,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,,,,,,,1894830,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,5266997,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,7643740,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,7621498,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1,No Quantity,,,,,,,9639336,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1,No Quantity,,,,,,,2370899,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1,No Quantity,,,,,,,2287082,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,1,No Quantity,,,,,,,10810011,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,1,No Quantity,,,,,,,12698926,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,1,No Quantity,,,,,,,12582904,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1,No Quantity,,,,,,,3038014,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1,No Quantity,,,,,,,8411,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1,No Quantity,,,,,,,4979,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,01,Live animals; animal products,1,No Quantity,,,,,,,3997,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,1287,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,258918,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",1,No Quantity,,,,,,,7397416,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,10676695,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,3373530,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,3373530,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,4864364,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,24418,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,24418,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,,,,,31491092,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,,,,,9232389,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,,,,,9216498,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,,,,,20067101,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,,,,,236303,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,,,,,232980,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,25363852,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,15141663,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,14824462,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,7842205,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,1211813,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,1198515,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,,,,,1524305,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,,,,,1140973,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,,,,,1140973,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",1,No Quantity,,,,,,,14756776,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",1,No Quantity,,,,,,,12929460,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",1,No Quantity,,,,,,,12560039,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,23,Residues and waste from the food industries; prepared animal fodder,1,No Quantity,,,,,,,1070820,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,23,Residues and waste from the food industries; prepared animal fodder,1,No Quantity,,,,,,,3928,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,23,Residues and waste from the food industries; prepared animal fodder,1,No Quantity,,,,,,,3928,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,,,,,280089,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,,,,,6287,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,,,,,29291,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,41806189,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,10525036,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,,,,,330629,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",1,No Quantity,,,,,,,981026,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,29,Organic chemicals,1,No Quantity,,,,,,,978384,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,29,Organic chemicals,1,No Quantity,,,,,,,12642,,,0
H3,2009,2009,2009,2,0,3,Re-Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,29,Organic chemicals,1,No Quantity,,,,,,,12642,,,0
H3,2009,2009,2009,2,0,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,,,,,9333514,,,0
H3,2009,2009,2009,2,0,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,30,Pharmaceutical products,1,No Quantity,,,,,,,107766,,,0
