Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1906534,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1796135,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,24897,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,548,Vanuatu,VUT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,85488,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,15,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,5577,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,5577,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1082049,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,661655,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,156,China,CHN,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,30760,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,133440,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,392,Japan,JPN,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,4,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,458,Malaysia,MYS,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,17958,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,548,Vanuatu,VUT,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,30535,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,554,New Zealand,NZL,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,125287,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,608,Philippines,PHL,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,12700,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,702,Singapore,SGP,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,69710,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,2214,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,1130,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,156,China,CHN,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,1083,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,1058,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,490,"Other Asia, nes",,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,1058,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,561789,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,340711,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,156,China,CHN,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,448,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,242,Fiji,FJI,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,26389,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,132,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,392,Japan,JPN,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,6678,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,548,Vanuatu,VUT,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,109041,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,554,New Zealand,NZL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,78381,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,842,USA,USA,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,8,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,152126,,,0
H1,2004,2004,2004,2,0,1,Import,296,Kiribati,KIR,36,Australia,AUS,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,105530,,,0
