Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,241021,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,44,Bahamas,BHS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1319,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,50,Bangladesh,BGD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2395,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,52,Barbados,BRB,,,,,,,,01,Live animals,1,No Quantity,,,,,,,177447,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,780,Trinidad and Tobago,TTO,,,,,,,,01,Live animals,1,No Quantity,,,,,,,696,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,826,United Kingdom,GBR,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7177,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,51988,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,7093461,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,52,Barbados,BRB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5442,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,332774,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,592955,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,352,Iceland,ISL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2276,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1182,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,530,Neth. Antilles,ANT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,49236,,,0
H1,2000,2000,2000,2,0,1,Import,308,Grenada,GRD,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,42694,,,0
