Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,34090,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,13520,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,14073082,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,,,,,213545,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,,,,,,,9422,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1,No Quantity,,,,,,,625000,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,,,,,13060,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,,,,,14175323,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,3907,,,0
H3,2010,2010,2010,2,0,2,Export,368,Iraq,IRQ,0,World,WLD,,,,,,,,26,"Ores, slag and ash",1,No Quantity,,,,,,,312216,,,0
