Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,20326232,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,176592,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5742731,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,3392830,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,1111915,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,282039100,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,09,"Coffee, tea, matΦ and spices",1,No Quantity,,,,,,,44233067,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,09,"Coffee, tea, matΦ and spices",1,No Quantity,,,,,,,1771900,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,4867357,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1026804,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,3685220,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,25787676,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,176,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin,1,No Quantity,,,,,,,162443037,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,534936,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,12,Oil seeds and oleaginous fruits,1,No Quantity,,,,,,,11146747,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,,,,,22814393,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,64826067,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils,1,No Quantity,,,,,,,163225370,,,0
H2,2008,2008,2008,2,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils,1,No Quantity,,,,,,,13402,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,22,"Beverages, spirits and vinegar",1,No Quantity,,,,,,,18136525,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,23430877,,,0
H2,2008,2008,2008,2,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,24,Tobacco and manufactured tobacco substitutes,1,No Quantity,,,,,,,33632518,,,0
