Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1067555,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1188774,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1067555,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1188774,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6897709,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2226709,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,72,Botswana,BWA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,122122,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,6775588,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2226709,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,881814,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,881814,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,4351857,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1797,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,4342970,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1797,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,716,Zimbabwe,ZWE,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,8887,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,80289,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,7161,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,80289,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,7161,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,13140,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,13140,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5254487,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5793,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5254304,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5793,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,716,Zimbabwe,ZWE,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,183,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,8046532,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,2056,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,8046532,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,2056,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,9002316,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,9002316,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,16772351,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,905039,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,,,,,788713,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,10,Cereals,1,No Quantity,,,,,,,15881697,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,710,South Africa,ZAF,,,,,,,,10,Cereals,1,No Quantity,,,,,,,905039,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,716,Zimbabwe,ZWE,,,,,,,,10,Cereals,1,No Quantity,,,,,,,101941,,,0
H0,2000,2000,2000,2,0,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,6994439,,,0
H0,2000,2000,2000,2,0,2,Export,426,Lesotho,LSO,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,1604255,,,0
