Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1945635,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,462,Maldives,MDV,,,,,,,,01,Live animals,1,No Quantity,,,,,,,202602,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,568,"Other Europe, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,13901,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,642,Romania,ROU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,190729,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,682,Saudi Arabia,SAU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1409972,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,784,United Arab Emirates,ARE,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7882,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,788,Tunisia,TUN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,120548,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,21189297,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2445349,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,16308240,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1247153,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,15973,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2517,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,664103,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,74542,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,422748,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,858,Uruguay,URY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8672,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,11160968,,,0
H2,2007,2007,2007,2,0,2,Export,434,Libya,LBY,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,77087,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,187872,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,2960,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,300,Greece,GRC,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,13216,,,0
H2,2007,2007,2007,2,0,2,Export,434,Libya,LBY,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1606,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,5275,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,205593,,,0
H2,2007,2007,2007,2,0,1,Import,434,Libya,LBY,470,Malta,MLT,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,311031,,,0
