Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,54617,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,56,Belgium,BEL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,12024,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,40430,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,324,Guinea,GIN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,712,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,686,Senegal,SEN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1435,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,724,Spain,ESP,,,,,,,,01,Live animals,1,No Quantity,,,,,,,17,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,147104,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8556,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,13057,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,71173,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1717,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,686,Senegal,SEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,297,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,52304,,,0
H1,2000,2000,2000,2,0,1,Import,478,Mauritania,MRT,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1989,,,0
H1,2000,2000,2000,2,0,2,Export,478,Mauritania,MRT,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,138714563,,,0
H1,2000,2000,2000,2,0,2,Export,478,Mauritania,MRT,12,Algeria,DZA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,275790,,,0
H1,2000,2000,2000,2,0,2,Export,478,Mauritania,MRT,56,Belgium,BEL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,16786,,,0
