Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,10967,,,0
H0,2000,2000,2000,2,0,2,Export,500,Montserrat,MSR,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4909,,,0
H0,2000,2000,2000,2,0,3,Re-Export,500,Montserrat,MSR,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,76,,,0
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,28,Antigua and Barbuda,ATG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4145,,,0
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,52,Barbados,BRB,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2385,,,0
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,124,Canada,CAN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,185,,,0
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,530,Neth. Antilles,ANT,,,,,,,,01,Live animals,1,No Quantity,,,,,,,148,,,0
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,659,Saint Kitts and Nevis,KNA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1167,,,0
H0,2000,2000,2000,2,0,2,Export,500,Montserrat,MSR,659,Saint Kitts and Nevis,KNA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1778,,,0
H0,2000,2000,2000,2,0,2,Export,500,Montserrat,MSR,662,Saint Lucia,LCA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3019,,,0
H0,2000,2000,2000,2,0,1,Import,500,Montserrat,MSR,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2937,,,0
H0,2000,2000,2000,2,0,2,Export,500,Montserrat,MSR,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,113,,,0
H0,2000,2000,2000,2,0,3,Re-Export,500,Montserrat,MSR,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,76,,,0
