Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,321312,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,75055,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,214,Dominican Rep.,DOM,,,,,,,,01,Live animals,1,No Quantity,,,,,,,11711,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,214,Dominican Rep.,DOM,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3352,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,559,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,72563,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,44163,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,533,Aruba,ABW,,,,,,,,01,Live animals,1,No Quantity,,,,,,,55726,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,533,Aruba,ABW,,,,,,,,01,Live animals,1,No Quantity,,,,,,,22836,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,591,Panama,PAN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5111,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,152476,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1017,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,858,Uruguay,URY,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7826,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,862,Venezuela,VEN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5278,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,862,Venezuela,VEN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,335,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,899,"Areas, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,10062,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,899,"Areas, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3352,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,30306775,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,820034,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,28,Antigua and Barbuda,ATG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,34215,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,32,Argentina,ARG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2156314,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,78608,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2421332,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,251553,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,152,Chile,CHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,172701,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1249286,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,166,Cocos Isds,CCK,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1018,,,0
H2,2005,2005,2005,2,0,1,Import,530,Neth. Antilles,ANT,170,Colombia,COL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1767005,,,0
H2,2005,2005,2005,2,0,2,Export,530,Neth. Antilles,ANT,170,Colombia,COL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1009,,,0
