Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,42732,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,83955,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,719112,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2818054,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,175801,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,265392,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,843622,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,10377,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,25352,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,25856,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,19745,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,18904,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,402153,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,20893,,,0
H1,2000,2000,2000,2,0,1,Import,548,Vanuatu,VUT,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,191542,,,0
H1,2000,2000,2000,2,0,2,Export,548,Vanuatu,VUT,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,25435,,,0
