Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3947,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,180,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3947,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,392,Japan,JPN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,180,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,38054319,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,839247,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,25200044,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,24667,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,242,Fiji,FJI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,49614,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,814580,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,548,Vanuatu,VUT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,366909,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,12416139,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,608,Philippines,PHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2916,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,660,Anguilla,AIA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,9569,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,804,Ukraine,UKR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,9128,,,0
H0,2000,2000,2000,2,0,1,Import,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,8752985,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,35786011,,,0
H0,2000,2000,2000,2,0,2,Export,598,Papua New Guinea,PNG,16,American Samoa,ASM,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,27849,,,0
