Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,6580,,,0
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,620,Portugal,PRT,,,,,,,,01,Live animals,1,No Quantity,,,,,,,6580,,,0
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,111488,,,0
H1,2003,2003,2003,2,0,4,Re-Import,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5862,,,0
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,11897,,,0
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,620,Portugal,PRT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,59789,,,0
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,624,Guinea-Bissau,GNB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5862,,,0
H1,2003,2003,2003,2,0,4,Re-Import,624,Guinea-Bissau,GNB,624,Guinea-Bissau,GNB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5862,,,0
H1,2003,2003,2003,2,0,1,Import,624,Guinea-Bissau,GNB,686,Senegal,SEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,33940,,,0
H1,2003,2003,2003,2,0,2,Export,624,Guinea-Bissau,GNB,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,10855,,,0
