Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,9465,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,117230,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,117230,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5716,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,117230,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,117230,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,55,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,3671,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,01,Live animals,1,No Quantity,,,,,,,23,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,905027,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,440,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,171842,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,198,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,64478,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,440,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,136,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,668303,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,70,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,134297,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,35704,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,103,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,55215,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,18,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,18,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,11,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,579,Norway,NOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,29,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,620,Portugal,PRT,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,23,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,43176,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,1066444,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,553,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,553,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,251159,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,776,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,99,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,99,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,683131,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,454,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,454,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,381,Italy,ITA,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,115,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,458,Malaysia,MYS,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,61981,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,608,Philippines,PHL,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,6,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,620,Portugal,PRT,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,163,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,68759,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,704,Viet Nam,VNM,,,,,,,,04,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,354,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,14812,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,14209,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,7459,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,1665,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,251,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,180,Dem. Rep. of the Congo,COD,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,51,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,12393,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,14194,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,7444,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,554,New Zealand,NZL,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,15,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,554,New Zealand,NZL,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,15,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,203,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,704,Viet Nam,VNM,,,,,,,,05,"Products of animal origin, not elsewhere specified",1,No Quantity,,,,,,,249,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,5055,,,0
H2,2004,2004,2004,2,0,2,Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,1,,,0
H2,2004,2004,2004,2,0,3,Re-Export,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,1,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,192,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,156,China,CHN,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,1643,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,344,"China, Hong Kong SAR",HKG,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,88,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,2005,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,450,,,0
H2,2004,2004,2004,2,0,1,Import,626,Timor-Leste,TLS,704,Viet Nam,VNM,,,,,,,,06,Live trees and other plants;,1,No Quantity,,,,,,,25,,,0
