Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2174760,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,30021,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,96207,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,352116,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2308,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1694108,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,774920,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,81759,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,35591,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,360,Indonesia,IDN,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,694,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,92743,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,564134,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1468996,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,52,Barbados,BRB,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,8783,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,137755,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,212,Dominica,DMA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,30,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,214,Dominican Rep.,DOM,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,149,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,33784,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,388,Jamaica,JAM,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,10449,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,528,Netherlands,NLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,7125,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,231946,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,659,Saint Kitts and Nevis,KNA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,2054,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,757,Switzerland,CHE,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1676,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,780,Trinidad and Tobago,TTO,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,84390,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,826,United Kingdom,GBR,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,21624,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,929231,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,3398,,,0
H0,2000,2000,2000,2,0,2,Export,660,Anguilla,AIA,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,1,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,388,Jamaica,JAM,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,376,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,155,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,2867,,,0
H0,2000,2000,2000,2,0,2,Export,660,Anguilla,AIA,842,USA,USA,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,1,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,957353,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,212,Dominica,DMA,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,8359,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,214,Dominican Rep.,DOM,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,2768,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,325,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,360,Indonesia,IDN,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,28,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,3873,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,670,Saint Vincent and the Grenadines,VCT,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,97,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,941903,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1505308,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,56,Belgium,BEL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,533,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1442,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,152,Chile,CHL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,30,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,188,Costa Rica,CRI,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2508,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,212,Dominica,DMA,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5547,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,214,Dominican Rep.,DOM,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,17846,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,41738,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,320,Guatemala,GTM,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1124,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,484,Mexico,MEX,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2270,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,528,Netherlands,NLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,446,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,149389,,,0
H0,2000,2000,2000,2,0,1,Import,660,Anguilla,AIA,591,Panama,PAN,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,228,,,0
