Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,32217,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,324,Guinea,GIN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1885,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,30332,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,473623,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,69738,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,36229,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,208,Denmark,DNK,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,30456,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,270,Gambia,GMB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2131,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,248026,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,752,Sweden,SWE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,78266,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8733,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,43,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,830,,,0
H0,2000,2000,2000,2,0,2,Export,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,27662,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,208,Denmark,DNK,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,726,,,0
H0,2000,2000,2000,2,0,2,Export,694,Sierra Leone,SLE,300,Greece,GRC,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,8884,,,0
H0,2000,2000,2000,2,0,2,Export,694,Sierra Leone,SLE,528,Netherlands,NLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,18778,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,842,USA,USA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,104,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,3233730,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,56,Belgium,BEL,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,513441,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,208,Denmark,DNK,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,124176,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,251,France,FRA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,243148,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,270,Gambia,GMB,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,14871,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,276,Germany,DEU,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,33792,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,324,Guinea,GIN,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,3321,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,414,Kuwait,KWT,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,135,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,422,Lebanon,LBN,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,4884,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,504,Morocco,MAR,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,27586,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,528,Netherlands,NLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1939005,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,699,India,IND,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,94,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,752,Sweden,SWE,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,29881,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,826,United Kingdom,GBR,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,298366,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,842,USA,USA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,1028,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,3430358,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,56,Belgium,BEL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,629,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,156,China,CHN,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,409,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,208,Denmark,DNK,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,128,,,0
H0,2000,2000,2000,2,0,1,Import,694,Sierra Leone,SLE,270,Gambia,GMB,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,617,,,0
