Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,42892116,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,371750893,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,36,Australia,AUS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,32354241,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,56,Belgium,BEL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,292163,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,56,Belgium,BEL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,600,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,76,Brazil,BRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,6838322,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,124,Canada,CAN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,101,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,473838,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,650079,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,300,Greece,GRC,,,,,,,,01,Live animals,1,No Quantity,,,,,,,218551,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,340,Honduras,HND,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1500,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1300,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,381,Italy,ITA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,502,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,392,Japan,JPN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2075,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,400,Jordan,JOR,,,,,,,,01,Live animals,1,No Quantity,,,,,,,46549,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,404,Kenya,KEN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,410,Rep. of Korea,KOR,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1200,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,414,Kuwait,KWT,,,,,,,,01,Live animals,1,No Quantity,,,,,,,100,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,414,Kuwait,KWT,,,,,,,,01,Live animals,1,No Quantity,,,,,,,141225,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,446,"China, Macao SAR",MAC,,,,,,,,01,Live animals,1,No Quantity,,,,,,,375,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,484,Mexico,MEX,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,490,"Other Asia, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,261243,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,350,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,533,Aruba,ABW,,,,,,,,01,Live animals,1,No Quantity,,,,,,,48642,,,0
H4,2012,2012,2012,2,0,2,Export,729,Sudan,SDN,533,Aruba,ABW,,,,,,,,01,Live animals,1,No Quantity,,,,,,,5060055,,,0
H4,2012,2012,2012,2,0,1,Import,729,Sudan,SDN,554,New Zealand,NZL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,195475,,,0
