Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,25520395,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2276012,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,508,Mozambique,MOZ,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2177762,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,25520395,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,710,South Africa,ZAF,,,,,,,,01,Live animals,1,No Quantity,,,,,,,98250,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3521468,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,11237349,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,910900,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,508,Mozambique,MOZ,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2560742,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3521468,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3552888,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,4212820,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,5731553,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,2061100,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,288,Ghana,GHA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,13,,,0
H1,2000,2000,2000,2,0,2,Export,748,Swaziland,SWZ,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,136547,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,408,Dem. People's Rep. of Korea,PRK,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,11357,,,0
H1,2000,2000,2000,2,0,1,Import,748,Swaziland,SWZ,508,Mozambique,MOZ,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,1976226,,,0
