Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4904,,,0
H0,2000,2000,2000,2,0,2,Export,776,Tonga,TON,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,222,,,0
H0,2000,2000,2000,2,0,2,Export,776,Tonga,TON,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,222,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4904,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5657192,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,222878,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,152,Chile,CHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3240,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,74,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,242,Fiji,FJI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,9596,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,738,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3022722,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2343158,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,882,Samoa,WSM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,54786,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,304250,,,0
H0,2000,2000,2000,2,0,2,Export,776,Tonga,TON,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,3535776,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,16,American Samoa,ASM,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,56,,,0
H0,2000,2000,2000,2,0,2,Export,776,Tonga,TON,16,American Samoa,ASM,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,298831,,,0
H0,2000,2000,2000,2,0,1,Import,776,Tonga,TON,36,Australia,AUS,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,43460,,,0
H0,2000,2000,2000,2,0,2,Export,776,Tonga,TON,36,Australia,AUS,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,16019,,,0
