Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4246,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,01,Live animals,1,No Quantity,,,,,,,100,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4146,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2640753,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,2640753,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,1650382,,,0
H0,2000,2000,2000,2,0,2,Export,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,1441110,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,212,Dominica,DMA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,150,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,1650232,,,0
H0,2000,2000,2000,2,0,2,Export,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1,No Quantity,,,,,,,1441110,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,273405,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,212,Dominica,DMA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,490,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,38,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,332,Haiti,HTI,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,60,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,272817,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,11178,,,0
H0,2000,2000,2000,2,0,2,Export,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,8908,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,11178,,,0
H0,2000,2000,2000,2,0,2,Export,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,05,"Products of animal origin, nes",1,No Quantity,,,,,,,8908,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,102552,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,720,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,06,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,101832,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,223679,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,212,Dominica,DMA,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1005,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,179,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,222495,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,107475,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,212,Dominica,DMA,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,1367,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,180,,,0
H0,2000,2000,2000,2,0,1,Import,796,Turks and Caicos Isds,TCA,332,Haiti,HTI,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,380,,,0
