Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,97567,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,72642,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,24243,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,682,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,118013,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,22590,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,88071,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,554,New Zealand,NZL,,,,,,,,04,"Dairy products, eggs, honey, edible animal product nes",1,No Quantity,,,,,,,7352,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,32074,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,7367,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,11300,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,63,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,554,New Zealand,NZL,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,13344,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,30453,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,14718,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,21,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,554,New Zealand,NZL,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,15714,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,21021,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,13954,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,7066,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,38212,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,,,,,37840,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,10,Cereals,1,No Quantity,,,,,,,372,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,27838,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,26736,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,1102,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1,No Quantity,,,,,,,1508,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1,No Quantity,,,,,,,1508,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,26671,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,15470,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,11201,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,162536,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,107037,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,152,Chile,CHL,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,24271,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,30322,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,554,New Zealand,NZL,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,906,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,16524,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,8387,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,156,China,CHN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,74,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,7640,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,344,"China, Hong Kong SAR",HKG,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,127,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,360,Indonesia,IDN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,65,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,554,New Zealand,NZL,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,121,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,792,Turkey,TUR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,109,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,2740,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,250,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,242,Fiji,FJI,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,2489,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,0,World,WLD,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,64181,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,36,Australia,AUS,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,23454,,,0
H0,2001,2001,2001,2,0,1,Import,798,Tuvalu,TUV,156,China,CHN,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,4889,,,0
