Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,19611,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,140,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,36,Australia,AUS,,,,,,,,01,Live animals,1,No Quantity,,,,,,,8195,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,10545,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,871,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,01,Live animals,1,No Quantity,,,,,,,140,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,10329735,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,183516,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1169579,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,3718,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,242,Fiji,FJI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,8301,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,4094296,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,15029,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,772,Tokelau,TKL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,73811,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,776,Tonga,TON,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,36608,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,5038016,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,71184,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,796,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,899,"Areas, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,1913,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,694677,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,0,World,WLD,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,15305189,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,51,Armenia,ARM,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,710,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,242,Fiji,FJI,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,3702,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,6714,,,0
H1,2001,2001,2001,2,0,1,Import,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,484174,,,0
H1,2001,2001,2001,2,0,2,Export,882,Samoa,WSM,554,New Zealand,NZL,,,,,,,,03,"Fish, crustaceans, molluscs, aquatic invertebrates nes",1,No Quantity,,,,,,,14308,,,0
